"","Made","Dist","Home","Stadium..","Indoor","Grass","Playoff","Time","Qtr","Marg","X.Marg.","Temp","Precip","Precip.Bin","Dewpt","Humidity","H.T.wind","C.wind","Altitude","Wind","Denver","FG.ID","Backup","Def.PA"
"165",1,44,1,31,0,1,0,21,3,9,9,82.9,0,0,55,0.38,4.1,4.1,410,5.8,0,165,0,24.6
"166",1,48,1,32,0,1,0,43,2,7,7,77,0,0,53,0.43,0,0,207,0,0,166,0,26.6
"167",1,26,0,32,0,1,0,24,3,-3,3,79,0,0,53,0.4,3.2,1.3,207,3.5,0,167,0,18.5
"168",0,52,1,32,0,1,0,3,4,7,7,79,0,0,54,0.42,3.2,1.3,207,3.5,0,168,0,26.6
"169",1,22,0,35,0,0,0,45,1,0,0,75.9,0,0,51,0.42,0,0,60,0,0,169,0,18.4
"170",1,24,1,35,0,0,0,33,2,-3,3,80.1,0,0,53,0.39,0,0,60,0,0,170,0,22.8
"171",1,30,0,35,0,0,0,30,2,0,0,80.1,0,0,53,0.39,0,0,60,0,0,171,0,18.4
"172",1,46,1,35,0,0,0,21,3,-3,3,81,0,0,52,0.36,0,0,60,0,0,172,0,22.8
"173",1,26,1,35,0,0,0,11,4,0,0,82,0,0,52,0.35,5.8,0,60,5.8,0,173,0,22.8
"174",1,21,0,35,0,0,0,0,4,-3,3,82,0,0,52,0.35,5.8,0,60,5.8,0,174,0,18.4
"175",1,22,1,35,0,0,0,0,4,0,0,82,0,0,52,0.35,5.8,0,60,5.8,0,175,0,22.8
"176",1,36,1,26,0,1,0,50,1,0,0,70,0,0,57,0.63,7.5,3.1,20,8.1,0,176,0,22.3
"177",1,32,0,26,0,1,0,8,4,-18,18,66.9,0,0,58,0.73,5.8,0,20,5.8,0,177,0,21.7
"178",1,49,1,26,0,1,0,2,4,16,16,66.9,0,0,58,0.73,5.8,0,20,5.8,0,178,0,22.3
"179",1,33,0,5,0,1,0,46,1,-7,7,79,0,0,61,0.54,8.5,3.5,870,9.2,0,179,0,20.6
"180",1,44,0,5,0,1,0,42,2,-4,4,80.1,0,0,62.1,0.54,5.8,0,870,5.8,0,180,0,20.6
"181",1,44,0,5,0,1,0,30,2,-8,8,80.1,0,0,62.1,0.54,5.8,0,870,5.8,0,181,0,20.6
"182",1,44,1,5,0,1,0,16,3,5,5,80.1,0,0,61,0.52,4.1,4.1,870,5.8,0,182,0,20.3
"183",0,50,0,6,0,1,0,35,2,0,0,63,0,0,54,0.72,7.4,7.4,600,10.5,0,183,0,21.9
"184",0,47,0,6,0,1,0,23,3,-7,7,62.1,0,0,53,0.72,4.9,4.9,600,6.9,0,184,0,21.9
"185",1,24,0,6,0,1,0,19,3,-7,7,62.1,0,0,53,0.72,4.9,4.9,600,6.9,0,185,0,21.9
"186",1,31,0,6,0,1,0,13,4,-4,4,61,0,0,54,0.78,0,0,600,0,0,186,0,21.9
"187",1,41,1,6,0,1,0,10,4,1,1,61,0,0,54,0.78,0,0,600,0,0,187,0,18.1
"188",1,25,0,7,0,0,0,54,1,0,0,75,0,0,58,0.55,7.5,3.1,495,8.1,0,188,0,22.8
"189",1,42,1,7,0,0,0,40,2,-3,3,77,0,0,56,0.48,4.9,4.9,495,6.9,0,189,0,21.9
"190",1,45,1,7,0,0,0,30,2,0,0,77,0,0,56,0.48,4.9,4.9,495,6.9,0,190,0,21.9
"191",1,29,0,7,0,0,0,0,4,5,5,80.1,0,0,53,0.39,7.4,7.4,495,10.5,0,191,0,22.8
"192",1,27,0,15,0,1,0,45,1,-7,7,82.9,0,0,57,0.41,0,0,22,0,0,192,0,22.9
"193",1,46,1,15,0,1,0,30,2,-3,3,84,0,0,56,0.38,7.5,3.1,22,8.1,0,193,0,24.6
"194",1,40,1,15,0,1,0,13,4,0,0,84.9,0,0,56,0.37,3.3,3.3,22,4.7,0,194,0,24.6
"195",1,47,0,15,0,1,0,0,4,-3,3,84.9,0,0,56,0.37,3.3,3.3,22,4.7,0,195,0,22.9
"196",1,37,1,15,0,1,0,0,4,0,0,84.9,0,0,56,0.37,3.3,3.3,22,4.7,0,196,0,24.6
"197",1,23,1,16,0,1,0,54,1,0,0,77,0,0,63,0.62,0,0,889,0,0,197,1,28
"198",1,21,1,16,0,1,0,50,1,3,3,77,0,0,63,0.62,0,0,889,0,0,198,1,28
"199",0,48,1,16,0,1,0,43,2,6,6,80.1,0,0,64,0.58,0,0,889,0,0,199,1,28
"200",0,28,0,16,0,1,0,31,2,-6,6,80.1,0,0,64,0.58,0,0,889,0,0,200,0,27.5
"201",1,56,0,16,0,1,0,30,2,-6,6,80.1,0,0,64,0.58,0,0,889,0,0,201,0,27.5
"202",1,51,0,16,0,1,0,27,3,-3,3,82,0,0,65,0.56,5.8,0,889,5.8,0,202,0,27.5
"203",1,43,1,16,0,1,0,23,3,0,0,82,0,0,65,0.56,5.8,0,889,5.8,0,203,1,28
"204",1,22,0,16,0,1,0,8,4,-10,10,82.9,0,0,65,0.54,5.4,2.2,889,5.8,0,204,0,27.5
"205",1,33,1,16,0,1,0,3,4,7,7,82.9,0,0,65,0.54,5.4,2.2,889,5.8,0,205,1,28
"206",1,33,0,16,0,1,0,2,4,-10,10,82.9,0,0,65,0.54,5.4,2.2,889,5.8,0,206,0,27.5
"207",1,47,0,20,1,0,0,52,1,0,0,72,0,0,52,0.5,0,0,3,0,0,207,0,22.7
"208",1,49,0,20,1,0,0,31,2,-11,11,72,0,0,52,0.5,0,0,3,0,0,208,0,22.7
"209",1,38,0,20,1,0,0,25,3,-15,15,72,0,0,52,0.5,0,0,3,0,0,209,0,22.7
"210",1,31,1,20,1,0,0,0,4,11,11,72,0,0,52,0.5,0,0,3,0,0,210,1,23.8
"211",1,22,1,23,0,1,0,56,1,0,0,66.9,0,0,55,0.66,0,13.8,42,13.8,0,211,0,21.7
"212",1,28,1,23,0,1,0,35,2,12,12,66,0,0,55,0.68,7,17,42,18.4,0,212,0,21.7
"213",0,44,0,23,0,1,0,31,2,-15,15,66,0,0,55,0.68,7,17,42,18.4,0,213,0,24.3
"214",0,76,1,23,0,1,0,30,2,15,15,66,0,0,55,0.68,7,17,42,18.4,0,214,0,21.7
"215",1,28,0,23,0,1,0,22,3,-15,15,66,0,0,54,0.65,6.2,14.9,42,16.1,0,215,0,24.3
"216",0,47,0,23,0,1,0,8,4,3,3,64.9,0,0,54,0.68,7,17,42,18.4,0,216,0,24.3
"217",1,32,1,23,0,1,0,2,4,-3,3,64.9,0,0,54,0.68,7,17,42,18.4,0,217,0,21.7
"218",1,47,0,23,0,1,0,1,4,0,0,64.9,0,0,54,0.68,7,17,42,18.4,0,218,0,24.3
"219",1,45,0,29,1,0,0,56,1,0,0,72,0,0,52,0.5,0,0,545,0,0,219,0,29.1
"220",1,35,0,29,1,0,0,48,1,-4,4,72,0,0,52,0.5,0,0,545,0,0,220,0,29.1
"221",0,51,1,29,1,0,0,18,3,1,1,72,0,0,52,0.5,0,0,545,0,0,221,0,21.4
